"Place","Distance","Theme","Count"
"Shrine of Remembrance","5km - 10km","Public and Institutional Facilities",2
"Victorian Insitute of Forensic Medicine","Within 500m","Leisure and Recreation",1
"Victorian Insitute of Forensic Medicine","Within 500m","Place Of Assembly",7
"Victorian Insitute of Forensic Medicine","Within 500m","Place of Worship",1
"Victorian Insitute of Forensic Medicine","Within 500m","Public and Institutional Facilities",12
"Victorian Insitute of Forensic Medicine","500m - 1km","Leisure and Recreation",11
"Victorian Insitute of Forensic Medicine","500m - 1km","Place Of Assembly",6
"Victorian Insitute of Forensic Medicine","500m - 1km","Place of Worship",1
"Victorian Insitute of Forensic Medicine","500m - 1km","Public and Institutional Facilities",7
"Victorian Insitute of Forensic Medicine","1km - 5km","Health Services",11
"Victorian Insitute of Forensic Medicine","1km - 5km","Leisure and Recreation",51
"Victorian Insitute of Forensic Medicine","1km - 5km","Place Of Assembly",27
"Victorian Insitute of Forensic Medicine","1km - 5km","Place of Worship",29
"Victorian Insitute of Forensic Medicine","1km - 5km","Public and Institutional Facilities",35
"Victorian Insitute of Forensic Medicine","1km - 5km","Retail",4
"Victorian Insitute of Forensic Medicine","5km - 10km","Leisure and Recreation",4
"Donor Tissue Bank of Victoria","Within 500m","Leisure and Recreation",1
"Donor Tissue Bank of Victoria","Within 500m","Place Of Assembly",7
"Donor Tissue Bank of Victoria","Within 500m","Place of Worship",1
"Donor Tissue Bank of Victoria","Within 500m","Public and Institutional Facilities",12
"Donor Tissue Bank of Victoria","500m - 1km","Leisure and Recreation",11
"Donor Tissue Bank of Victoria","500m - 1km","Place Of Assembly",6
"Donor Tissue Bank of Victoria","500m - 1km","Place of Worship",1
"Donor Tissue Bank of Victoria","500m - 1km","Public and Institutional Facilities",6
"Donor Tissue Bank of Victoria","1km - 5km","Health Services",11
"Donor Tissue Bank of Victoria","1km - 5km","Leisure and Recreation",50
"Donor Tissue Bank of Victoria","1km - 5km","Place Of Assembly",27
"Donor Tissue Bank of Victoria","1km - 5km","Place of Worship",29
"Donor Tissue Bank of Victoria","1km - 5km","Public and Institutional Facilities",36
"Donor Tissue Bank of Victoria","1km - 5km","Retail",4
"Donor Tissue Bank of Victoria","5km - 10km","Leisure and Recreation",5
"Alfred Hospital","Within 500m","Health Services",1
"Alfred Hospital","Within 500m","Public and Institutional Facilities",1
"Alfred Hospital","500m - 1km","Leisure and Recreation",1
"Alfred Hospital","500m - 1km","Place of Worship",2
"Alfred Hospital","1km - 5km","Health Services",5
"Alfred Hospital","1km - 5km","Leisure and Recreation",37
"Alfred Hospital","1km - 5km","Place Of Assembly",37
"Alfred Hospital","1km - 5km","Place of Worship",21
"Alfred Hospital","1km - 5km","Public and Institutional Facilities",41
"Alfred Hospital","1km - 5km","Retail",3
"Alfred Hospital","5km - 10km","Health Services",5
"Alfred Hospital","5km - 10km","Leisure and Recreation",29
"Alfred Hospital","5km - 10km","Place Of Assembly",3
"Alfred Hospital","5km - 10km","Place of Worship",8
"Alfred Hospital","5km - 10km","Public and Institutional Facilities",12
"Alfred Hospital","5km - 10km","Retail",1
"Carlton Courthouse Theatre","Within 500m","Health Services",1
"Carlton Courthouse Theatre","Within 500m","Leisure and Recreation",2
"Carlton Courthouse Theatre","Within 500m","Place Of Assembly",3
"Carlton Courthouse Theatre","Within 500m","Place of Worship",1
"Carlton Courthouse Theatre","Within 500m","Public and Institutional Facilities",2
"Carlton Courthouse Theatre","500m - 1km","Leisure and Recreation",7
"Carlton Courthouse Theatre","500m - 1km","Place Of Assembly",3
"Carlton Courthouse Theatre","500m - 1km","Place of Worship",2
"Carlton Courthouse Theatre","500m - 1km","Public and Institutional Facilities",2
"Carlton Courthouse Theatre","1km - 5km","Health Services",9
"Carlton Courthouse Theatre","1km - 5km","Leisure and Recreation",54
"Carlton Courthouse Theatre","1km - 5km","Place Of Assembly",34
"Carlton Courthouse Theatre","1km - 5km","Place of Worship",27
"Carlton Courthouse Theatre","1km - 5km","Public and Institutional Facilities",49
"Carlton Courthouse Theatre","1km - 5km","Retail",4
"Carlton Courthouse Theatre","5km - 10km","Health Services",1
"Carlton Courthouse Theatre","5km - 10km","Leisure and Recreation",4
"Carlton Courthouse Theatre","5km - 10km","Place of Worship",1
"Carlton Courthouse Theatre","5km - 10km","Public and Institutional Facilities",1
"Melbourne Showgrounds","Within 500m","Leisure and Recreation",1
"Melbourne Showgrounds","500m - 1km","Leisure and Recreation",1
"Melbourne Showgrounds","1km - 5km","Health Services",4
"Melbourne Showgrounds","1km - 5km","Leisure and Recreation",21
"Melbourne Showgrounds","1km - 5km","Place Of Assembly",2
"Melbourne Showgrounds","1km - 5km","Place of Worship",8
"Melbourne Showgrounds","1km - 5km","Public and Institutional Facilities",10
"Melbourne Showgrounds","1km - 5km","Retail",2
"Melbourne Showgrounds","5km - 10km","Health Services",7
"Melbourne Showgrounds","5km - 10km","Leisure and Recreation",44
"Melbourne Showgrounds","5km - 10km","Place Of Assembly",38
"Melbourne Showgrounds","5km - 10km","Place of Worship",23
"Melbourne Showgrounds","5km - 10km","Public and Institutional Facilities",44
"Melbourne Showgrounds","5km - 10km","Retail",2
"Comedy Theatre","Within 500m","Leisure and Recreation",2
"Comedy Theatre","Within 500m","Place Of Assembly",6
"Comedy Theatre","Within 500m","Place of Worship",5
"Comedy Theatre","Within 500m","Public and Institutional Facilities",3
"Comedy Theatre","500m - 1km","Health Services",2
"Comedy Theatre","500m - 1km","Leisure and Recreation",9
"Comedy Theatre","500m - 1km","Place Of Assembly",11
"Comedy Theatre","500m - 1km","Place of Worship",10
"Comedy Theatre","500m - 1km","Public and Institutional Facilities",14
"Comedy Theatre","500m - 1km","Retail",2
"Comedy Theatre","1km - 5km","Health Services",9
"Comedy Theatre","1km - 5km","Leisure and Recreation",51
"Comedy Theatre","1km - 5km","Place Of Assembly",23
"Comedy Theatre","1km - 5km","Place of Worship",16
"Comedy Theatre","1km - 5km","Public and Institutional Facilities",37
"Comedy Theatre","1km - 5km","Retail",2
"Comedy Theatre","5km - 10km","Leisure and Recreation",5
"La Mama Theatre","Within 500m","Health Services",1
"La Mama Theatre","Within 500m","Leisure and Recreation",5
"La Mama Theatre","Within 500m","Place Of Assembly",3
"La Mama Theatre","Within 500m","Place of Worship",2
"La Mama Theatre","Within 500m","Public and Institutional Facilities",2
"La Mama Theatre","500m - 1km","Health Services",2
"La Mama Theatre","500m - 1km","Leisure and Recreation",5
"La Mama Theatre","500m - 1km","Place Of Assembly",4
"La Mama Theatre","500m - 1km","Place of Worship",1
"La Mama Theatre","500m - 1km","Public and Institutional Facilities",1
"La Mama Theatre","1km - 5km","Health Services",7
"La Mama Theatre","1km - 5km","Leisure and Recreation",54
"La Mama Theatre","1km - 5km","Place Of Assembly",33
"La Mama Theatre","1km - 5km","Place of Worship",28
"La Mama Theatre","1km - 5km","Public and Institutional Facilities",50
"La Mama Theatre","1km - 5km","Retail",4
"La Mama Theatre","5km - 10km","Health Services",1
"La Mama Theatre","5km - 10km","Leisure and Recreation",3
"La Mama Theatre","5km - 10km","Public and Institutional Facilities",1
"Forum Theatre","Within 500m","Leisure and Recreation",3
"Forum Theatre","Within 500m","Place Of Assembly",7
"Forum Theatre","Within 500m","Place of Worship",4
"Forum Theatre","Within 500m","Public and Institutional Facilities",5
"Forum Theatre","500m - 1km","Health Services",1
"Forum Theatre","500m - 1km","Leisure and Recreation",10
"Forum Theatre","500m - 1km","Place Of Assembly",11
"Forum Theatre","500m - 1km","Place of Worship",8
"Forum Theatre","500m - 1km","Public and Institutional Facilities",24
"Forum Theatre","500m - 1km","Retail",2
"Forum Theatre","1km - 5km","Health Services",10
"Forum Theatre","1km - 5km","Leisure and Recreation",48
"Forum Theatre","1km - 5km","Place Of Assembly",22
"Forum Theatre","1km - 5km","Place of Worship",19
"Forum Theatre","1km - 5km","Public and Institutional Facilities",25
"Forum Theatre","1km - 5km","Retail",2
"Forum Theatre","5km - 10km","Leisure and Recreation",6
"Melbourne Wholesale Fruit, Vegetable & Flower Market","Within 500m","Public and Institutional Facilities",1
"Melbourne Wholesale Fruit, Vegetable & Flower Market","500m - 1km","Leisure and Recreation",1
"Melbourne Wholesale Fruit, Vegetable & Flower Market","500m - 1km","Retail",1
"Melbourne Wholesale Fruit, Vegetable & Flower Market","1km - 5km","Health Services",7
"Melbourne Wholesale Fruit, Vegetable & Flower Market","1km - 5km","Leisure and Recreation",51
"Melbourne Wholesale Fruit, Vegetable & Flower Market","1km - 5km","Place Of Assembly",34
"Melbourne Wholesale Fruit, Vegetable & Flower Market","1km - 5km","Place of Worship",26
"Melbourne Wholesale Fruit, Vegetable & Flower Market","1km - 5km","Public and Institutional Facilities",49
"Melbourne Wholesale Fruit, Vegetable & Flower Market","1km - 5km","Retail",3
"Melbourne Wholesale Fruit, Vegetable & Flower Market","5km - 10km","Health Services",4
"Melbourne Wholesale Fruit, Vegetable & Flower Market","5km - 10km","Leisure and Recreation",15
"Melbourne Wholesale Fruit, Vegetable & Flower Market","5km - 10km","Place Of Assembly",6
"Melbourne Wholesale Fruit, Vegetable & Flower Market","5km - 10km","Place of Worship",5
"Melbourne Wholesale Fruit, Vegetable & Flower Market","5km - 10km","Public and Institutional Facilities",4
"Melbourne Central","Within 500m","Leisure and Recreation",1
"Melbourne Central","Within 500m","Place Of Assembly",1
"Melbourne Central","Within 500m","Place of Worship",4
"Melbourne Central","Within 500m","Public and Institutional Facilities",6
"Melbourne Central","Within 500m","Retail",2
"Melbourne Central","500m - 1km","Leisure and Recreation",7
"Melbourne Central","500m - 1km","Place Of Assembly",12
"Melbourne Central","500m - 1km","Place of Worship",7
"Melbourne Central","500m - 1km","Public and Institutional Facilities",12
"Melbourne Central","500m - 1km","Retail",1
"Melbourne Central","1km - 5km","Health Services",11
"Melbourne Central","1km - 5km","Leisure and Recreation",57
"Melbourne Central","1km - 5km","Place Of Assembly",27
"Melbourne Central","1km - 5km","Place of Worship",20
"Melbourne Central","1km - 5km","Public and Institutional Facilities",36
"Melbourne Central","1km - 5km","Retail",1
"Melbourne Central","5km - 10km","Leisure and Recreation",2
"Argyle Square","Within 500m","Health Services",1
"Argyle Square","Within 500m","Leisure and Recreation",3
"Argyle Square","Within 500m","Place Of Assembly",2
"Argyle Square","Within 500m","Place of Worship",2
"Argyle Square","Within 500m","Public and Institutional Facilities",1
"Argyle Square","500m - 1km","Health Services",2
"Argyle Square","500m - 1km","Leisure and Recreation",6
"Argyle Square","500m - 1km","Place Of Assembly",8
"Argyle Square","500m - 1km","Place of Worship",5
"Argyle Square","500m - 1km","Public and Institutional Facilities",6
"Argyle Square","500m - 1km","Retail",1
"Argyle Square","1km - 5km","Health Services",7
"Argyle Square","1km - 5km","Leisure and Recreation",55
"Argyle Square","1km - 5km","Place Of Assembly",30
"Argyle Square","1km - 5km","Place of Worship",24
"Argyle Square","1km - 5km","Public and Institutional Facilities",46
"Argyle Square","1km - 5km","Retail",3
"Argyle Square","5km - 10km","Health Services",1
"Argyle Square","5km - 10km","Leisure and Recreation",3
"Argyle Square","5km - 10km","Public and Institutional Facilities",1
"Piazza Italia","Within 500m","Health Services",1
"Piazza Italia","Within 500m","Leisure and Recreation",3
"Piazza Italia","Within 500m","Place Of Assembly",2
"Piazza Italia","Within 500m","Place of Worship",2
"Piazza Italia","Within 500m","Public and Institutional Facilities",1
"Piazza Italia","500m - 1km","Health Services",2
"Piazza Italia","500m - 1km","Leisure and Recreation",6
"Piazza Italia","500m - 1km","Place Of Assembly",8
"Piazza Italia","500m - 1km","Place of Worship",3
"Piazza Italia","500m - 1km","Public and Institutional Facilities",6
"Piazza Italia","500m - 1km","Retail",1
"Piazza Italia","1km - 5km","Health Services",7
"Piazza Italia","1km - 5km","Leisure and Recreation",55
"Piazza Italia","1km - 5km","Place Of Assembly",30
"Piazza Italia","1km - 5km","Place of Worship",26
"Piazza Italia","1km - 5km","Public and Institutional Facilities",46
"Piazza Italia","1km - 5km","Retail",3
"Piazza Italia","5km - 10km","Health Services",1
"Piazza Italia","5km - 10km","Leisure and Recreation",3
"Piazza Italia","5km - 10km","Public and Institutional Facilities",1
"Murchinson Square","Within 500m","Leisure and Recreation",3
"Murchinson Square","Within 500m","Place Of Assembly",4
"Murchinson Square","Within 500m","Place of Worship",1
"Murchinson Square","Within 500m","Public and Institutional Facilities",1
"Murchinson Square","500m - 1km","Health Services",2
"Murchinson Square","500m - 1km","Leisure and Recreation",5
"Murchinson Square","500m - 1km","Place Of Assembly",3
"Murchinson Square","500m - 1km","Place of Worship",3
"Murchinson Square","500m - 1km","Public and Institutional Facilities",1
"Murchinson Square","1km - 5km","Health Services",8
"Murchinson Square","1km - 5km","Leisure and Recreation",54
"Murchinson Square","1km - 5km","Place Of Assembly",33
"Murchinson Square","1km - 5km","Place of Worship",27
"Murchinson Square","1km - 5km","Public and Institutional Facilities",51
"Murchinson Square","1km - 5km","Retail",4
"Murchinson Square","5km - 10km","Health Services",1
"Murchinson Square","5km - 10km","Leisure and Recreation",5
"Murchinson Square","5km - 10km","Public and Institutional Facilities",1
"Melbourne Aquarium","Within 500m","Leisure and Recreation",5
